ticker,year,semantic_text_similarity,semantic_similarity_status,semantic_similarity_gap_reason,semantic_embedding_model
AAPL,2016,8.420028,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2017,7.665107,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2018,,missing_part2_text,Part 2 proxy clean text is unavailable.,
AAPL,2019,13.59989,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2020,18.07705,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2021,22.523573,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2022,19.169987,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2023,30.390629,computed,,sentence-transformers/all-MiniLM-L6-v2
AAPL,2024,22.003057,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2016,-2.497255,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2017,2.730256,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2018,2.267738,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2019,1.550116,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2020,1.91543,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2021,2.176662,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2022,4.440861,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2023,7.702867,computed,,sentence-transformers/all-MiniLM-L6-v2
ABBV,2024,7.239705,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2016,22.820208,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2017,23.135168,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2018,12.730332,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2019,5.149379,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2020,4.952677,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2021,5.147512,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2022,8.633177,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2023,6.53895,computed,,sentence-transformers/all-MiniLM-L6-v2
ABT,2024,18.882899,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
