ticker,year,changed_from_prior,change_score,change_magnitude,linguistic_shift_notes
AAPL,2016,,,no_prior,
AAPL,2017,False,0.0,unchanged_exact,
AAPL,2018,True,0.931507,substantive_change,"{""added"": [""About Apple"", ""Apple Leadership"", ""Investors""], ""removed"": [""Apple Info - Apple"", ""Contact Us"", ""Apple Inc.""]}"
AAPL,2019,,,indeterminate,
AAPL,2020,,,indeterminate,
AAPL,2021,True,0.174342,substantive_change,"{""added"": [""Career Opportunities"", ""Ethics & Compliance"", ""Racial Equity and Justice""], ""removed"": [""Job Opportunities"", ""Field Trip"", ""Personal Setup""]}"
AAPL,2022,True,0.148266,substantive_change,"{""added"": [""MacBook Air (M1)"", ""MacBook Air (M2)"", ""MacBook Pro 14” and 16”""], ""removed"": [""Services"", ""Apple Music"", ""Apple TV+""]}"
AAPL,2023,True,0.083333,minor_edit,"{""added"": [""Certified Refurbished"", ""Group Reservations"", ""Apple Trade In""], ""removed"": [""Refurbished and Clearance"", ""Apple Trade In"", ""MacBook Air (M1)""]}"
AAPL,2024,,,indeterminate,
ABBV,2016,,,no_prior,
ABBV,2017,,,indeterminate,
ABBV,2018,True,0.095588,minor_edit,"{""added"": [""®"", ""At AbbVie, we combine advanced science, expertise and passion to"", ""solve serious health issues and have a remarkable impact on people’s""], ""removed"": [""At AbbVie, we combine advanced science, expertise and passion to solve serious health issues and have a remarkable impact on people’s lives."", ""Skip to the next section"", ""~29,000 employees Our employees are scientists, researchers, communicators, manufacturing specialists and regulatory experts located around the globe.""]}"
ABBV,2019,True,0.085409,minor_edit,"{""added"": [""~30,000 employees"", ""175+"", ""30+ million""], ""removed"": [""~29,000 employees"", ""170+"", ""28 million""]}"
ABBV,2020,True,0.108696,substantive_change,"{""added"": [""~47,000 employees"", ""We’re a company that takes on the toughest health challenges, but"", ""we’re really just getting started.""], ""removed"": [""~30,000 employees"", ""We’re a company that takes on the toughest health challenges."", ""But we""]}"
ABBV,2021,True,0.639084,substantive_change,"{""added"": [""We’re a company that takes on the toughest health challenges."", ""But we do more than treat diseases—we aim to make a remarkable impact on people’s lives."", ""We are AbbVie, a highly focused research-driven biopharmaceutical company.""], ""removed"": [""At AbbVie, we combine advanced science, expertise and passion to"", ""solve serious health issues and have a remarkable impact on people’s"", ""lives.""]}"
ABBV,2022,True,0.615466,substantive_change,"{""added"": [""The pursuit of scientific breakthroughs is more important than ever."", ""It takes unwavering commitment and confidence to bring solutions from the petri dish to patients."", ""And it requires a continued investment in innovation to address the known and unknown challenges of tomorrow.""], ""removed"": [""We are AbbVie, a highly focused research-driven biopharmaceutical company."", ""What we do"", ""Our ~48,000 employees are scientists, researchers, communicators, manufacturing specialists and regulatory experts located around the globe.""]}"
ABBV,2023,,,indeterminate,
ABBV,2024,True,0.081897,minor_edit,"{""added"": [""75+"", ""~50M"", ""~50K+""], ""removed"": [""60+"", ""62MM+"", ""50,000""]}"
ABT,2016,,,no_prior,
ABT,2017,True,0.406015,substantive_change,"{""added"": [""ABOUT ABBOTT"", ""ABBOTT IS IN THE BUSINESS OF LIFE."", ""We all have our own unique idea of what it means to live fully, but there’s one thing we share: We each want to live the best life we can.""], ""removed"": [""WHO WE ARE"", ""FULFILLING THE PROMISE OF HUMAN POTENTIAL"", ""Our promise to you—and ourselves—is to nurture human health so you can achieve your full potential and live a healthier, happier and better life.""]}"
ABT,2018,True,0.333333,substantive_change,"{""added"": [""WHO WE ARE"", ""CREATING POSSIBILITIES"", ""Every day and around the world, we’re discovering new ways to make life better – creating more possibilities for more people through the power of health.""], ""removed"": [""ABOUT ABBOTT"", ""ABBOTT IS IN THE BUSINESS OF LIFE."", ""Please be aware that the website you have requested is intended for the residents of a particular country or countries, as noted on that site.""]}"
ABT,2019,True,0.246073,substantive_change,"{""added"": [""CREATING"", ""LIFE-CHANGING TECHNOLOGY"", ""From removing the regular pain of fingersticks as people manage their diabetes to connecting patients to doctors with real-time information monitoring their hearts, from easing chronic pain and movement disorders to testing half the world’s blood donations to ensure a healthy supply, our purpose is to make the world a better place by bringing life-changing health technologies to the people who need them.""], ""removed"": [""CREATING POSSIBILITIES"", ""Every day and around the world, we’re discovering new ways to make life better – creating more possibilities for more people through the power of health."", ""Citizenship""]}"
ABT,2020,False,0.0,unchanged_exact,
ABT,2021,True,0.000236,minor_edit,"{""added"": [""Do you wish to continue and exit this website??""], ""removed"": [""Do you wish to continue and exit this website?""]}"
ABT,2022,False,0.0,unchanged_exact,
ABT,2023,False,0.0,unchanged_exact,
ABT,2024,,,indeterminate,
AMZN,2016,,,no_prior,
AMZN,2017,,,indeterminate,
AMZN,2018,,,indeterminate,
AMZN,2019,True,0.721605,substantive_change,"{""added"": [""Amazon pledges to upskill 100,000 U.S."", ""employees by 2025 through programs like Amazon Technical Academy."", ""How Amazon delivers products safer and faster.""], ""removed"": [""The raising of the LGBTQ Pride flag and the lighting of the Seattle Spheres kicks off a month of events at Amazon facilities around the world."", ""The director of the Amazon Literary Partnership never stops walking in the shoes of the community he supports."", ""Amazon’s Prime Air planes work on customers’ behalf to fulfill our two-day delivery promise to Prime members.""]}"
AMZN,2020,,,indeterminate,
AMZN,2021,True,0.391144,substantive_change,"{""added"": [""Amazon strives to be Earth’s most customer-centric company, Earth’s best employer, and Earth’s safest place to work."", ""Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, AWS, Kindle Direct Publishing, Kindle, Career Choice, Fire tablets, Fire TV, Amazon Echo, Alexa, Just Walk Out technology, Amazon Studios, and The Climate Pledge are some of the things pioneered by Amazon."", ""The 16 principles guide our discussions and decisions every day.""], ""removed"": [""Our mission is to be Earth’s most customer-centric company."", ""Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, AWS, Kindle Direct Publishing, Kindle, Fire tablets, Fire TV, Amazon Echo, and Alexa are some of the products and services pioneered by Amazon."", ""The 14 principles guide our discussions and decisions every day.""]}"
AMZN,2022,True,0.425087,substantive_change,"{""added"": [""At Amazon, $15 is just the start"", ""All Amazon employees earn at least $15 an hour—and more in areas where the cost of living is higher."", ""We invest in employee career growth—including fully paid college tuition—and offer regular, full-time employees benefits like health care on day one, and paid family leave.""], ""removed"": [""How a door became a desk, and a symbol of Amazon"", ""Today, Amazon offices around the world are filled with door desks, based on Bezos’ early design."", ""Watch now""]}"
AMZN,2023,True,0.489362,substantive_change,"{""added"": [""Public Policy"", ""We engage with policymakers on a wide range of issues that are important to our customers and employees."", ""Learn more about our views on current policy issues.""], ""removed"": [""Workplace"", ""At Amazon, $15 is just the start"", ""All Amazon employees earn at least $15 an hour—and more in areas where the cost of living is higher.""]}"
AMZN,2024,True,0.424699,substantive_change,"{""added"": [""Amazon Leadership Principles"", ""Our Reports"", ""Dive deep into Amazon's support of employees and small businesses, and learn more about our efforts to build stronger communities and protect the planet.""], ""removed"": [""Leadership Principles"", ""CEO Andy Jassy’s 2022 Letter to Shareholders"", ""More from Amazon""]}"
AVGO,2016,,,no_prior,
AVGO,2017,,,indeterminate,
AVGO,2018,,,indeterminate,
AVGO,2019,,,indeterminate,
AVGO,2020,,,indeterminate,
AVGO,2021,,,indeterminate,
AVGO,2022,,,indeterminate,
AVGO,2023,,,indeterminate,
AVGO,2024,,,indeterminate,
AXP,2016,,,no_prior,
AXP,2017,True,0.445545,substantive_change,"{""added"": [""Jun 28, 2017"", ""American Express Plans to Increase Quarterly Dividend by 9 Percent and Buy Back up to $4.4 Billion of Common Shares Through Q2 2018"", ""Jun 27, 2017""], ""removed"": [""© 2016 American Express Company.""]}"
AXP,2018,True,0.368852,substantive_change,"{""added"": [""Jun 28, 2018"", ""American Express Plans to Increase Quarterly Dividend by 11 Percent and Buy Back up to $3.4 Billion of Common Shares Through Q2 2019"", ""Jun 27, 2018""], ""removed"": [""Jun 28, 2017"", ""American Express Plans to Increase Quarterly Dividend by 9 Percent and Buy Back up to $4.4 Billion of Common Shares Through Q2 2018"", ""Jun 27, 2017""]}"
AXP,2019,True,0.901786,substantive_change,"{""added"": [""Our Vision"", ""Provide the world’s best customer experience every day."", ""Our Mission""], ""removed"": [""About American Express"", ""PRESS RELEASES"", ""Jun 28, 2018""]}"
AXP,2020,,,indeterminate,
AXP,2021,,,indeterminate,
AXP,2022,,,indeterminate,
AXP,2023,,,indeterminate,
AXP,2024,True,0.00232,minor_edit,"{""added"": [], ""removed"": [""About American Express"", ""​"", ""​""]}"
BAC,2016,,,no_prior,
BAC,2017,True,0.331897,substantive_change,"{""added"": [""Who we are + Show Who we are Dropdown Show Who we are Dropdown"", ""We’re focused on serving our clients to help them live their financial lives."", ""Our strategy""], ""removed"": [""Our story + Show Our story Dropdown Show Our story Dropdown"", ""Over 200 years of helping people around the world connect with what matters most to them."", ""Who we are""]}"
BAC,2018,True,0.080191,minor_edit,"{""added"": [""Responsible growth"", ""See how we're bringing our approach to responsible growth to life.."", ""learn More about Responsible growth""], ""removed"": [""Report center"", ""Get fact sheets, reports and financial updates, and learn about our lending, investing and giving..."", ""learn More about Report center""]}"
BAC,2019,True,0.052897,minor_edit,"{""added"": [""Skip to Content"", ""Modern Slavery Act Statement"", ""Hunger relief""], ""removed"": [""Skip to Content"", ""Student Leaders"", ""Inspiring tomorrow's leaders""]}"
BAC,2020,True,0.074026,minor_edit,"{""added"": [""We're here for you"", ""Latest updates about our response to coronavirus..."", ""learn More about We're here for you""], ""removed"": [""About Bank of America - Service, Commitment & Philanthropy"", ""Empowering people with disabilities"", ""Through advocacy, employment, and volunteering, we're proud to support people with disabilities...""]}"
BAC,2021,,,indeterminate,
BAC,2022,True,0.815385,substantive_change,"{""added"": [""Learn more"", ""Learn more"", ""We're committed to strengthening our communities.""], ""removed"": [""See how"", ""Learn more"", ""Fueling economic growth through jobs and skills development""]}"
BAC,2023,True,0.80226,substantive_change,"{""added"": [""We believe in the power"", ""of the arts"", ""to help economies thrive, educate and enrich societies, and create greater cultural understanding""], ""removed"": [""Learn more"", ""Asian American entrepreneurs: lessons in resilience and recovery"", ""Why many Asian American business owners value the power of family — and the positive impact it has on communities.""]}"
BAC,2024,True,0.812721,substantive_change,"{""added"": [""Being a great place to work has its rewards."", ""And awards."", ""*""], ""removed"": [""We believe in the power"", ""of the arts"", ""to help economies thrive, educate and enrich societies, and create greater cultural understanding""]}"
BLK,2016,,,no_prior,
BLK,2017,True,0.655786,substantive_change,"{""added"": [""* Based on $5.1 trillion in AUM as of 12/31/16"", ""We work only for our clients."", ""Our promise is to give them insight into what to do with their money, providing products and services that can help them build a better financial future.""], ""removed"": [""Who We Are | BlackRock"", ""Skip Masthead"", ""BlackRock""]}"
BLK,2018,,,indeterminate,
BLK,2019,True,0.839323,substantive_change,"{""added"": [""Skip to content"", ""What if you invest in your financial health the same way you invest in your physical health?"", ""We believe your relationship with money is one of the greatest influences on your well-being.""], ""removed"": [""About BlackRock"", ""Who we are"", ""BlackRock is trusted to manage more money than any other investment firm*.""]}"
BLK,2020,True,0.938272,substantive_change,"{""added"": [""BlackRock offers a range of solutions for institutions, financial professionals and individuals from all walks of life."", ""From shop assistants in your local stores to national organizations and non-profits, BlackRock has helped people take control of their financial security for more than 30 years."", ""Explore our site for more information on BlackRock's missions and principles, social impact activities and corporate sustainability.""], ""removed"": [""About Us | BlackRock"", ""Skip to content"", ""Global Site Directory Global Site Directory""]}"
BLK,2021,,,indeterminate,
BLK,2022,True,0.677419,substantive_change,"{""added"": [""To view this video please enable JavaScript, and consider upgrading to a"", ""web browser that supports HTML5 video."", ""Transcript""], ""removed"": [""16,000 people"", ""of different backgrounds, races and nationalities 1"", ""82 languages""]}"
BLK,2023,True,0.269136,substantive_change,"{""added"": [""Our focus"", ""Our investment approach is informed by three principles: we start by understanding the client’s investment objectives; we seek the best risk-adjusted returns within the scope of the mandate they give us; and we underpin our work with research, data, and analytics."", ""We apply those same principles to sustainability and the low-carbon transition.""], ""removed"": [""Explore our purpose Explore our purpose"", ""We are committed to advancing..."", ""We advance sustainable investing because our conviction is it delivers better outcomes for our investors.""]}"
BLK,2024,True,0.006754,minor_edit,"{""added"": [""As it becomes harder to save for goals like retirement, we help more people invest for their future."", ""42 countries""], ""removed"": [""As it becomes harder to save for goals like retirement, how can we help more people invest for their future?"", ""Better retirement for all Better retirement for all"", ""36 countries""]}"
BMY,2016,,,no_prior,
BMY,2017,,,indeterminate,
BMY,2018,True,0.1,minor_edit,"{""added"": [""Global Patient Week 2018"", ""Learn More"", ""Life with Cancer Series""], ""removed"": [""Patients are at the center of everything we do."", ""See All Our Stories""]}"
BMY,2019,True,0.070588,minor_edit,"{""added"": [""Survivorship Today"", ""Sterling K."", ""Brown talks to people about what it’s like to live with cancer""], ""removed"": [""Global Patient Week 2018"", ""Working Together for Patients"", ""Life with Cancer Series""]}"
BMY,2020,True,0.550869,substantive_change,"{""added"": [""A Commitment to Patients"", ""All around the world Bristol Myers Squibb employees take time to pause, reflect and meet inspirational patients during an annual Global Patient Week event."", ""Learn More""], ""removed"": [""Brown talks to people about what it’s like to live with cancer"", ""Learn More"", ""B""]}"
BMY,2021,True,0.101493,substantive_change,"{""added"": [""Patient & Employee Stories"", ""Daniel's Story"", ""Daniel had many life plans still ahead of him.""], ""removed"": [""A Commitment to Patients"", ""All around the world Bristol Myers Squibb employees take time to pause, reflect and meet inspirational patients during an annual Global Patient Week event."", ""Learn More""]}"
BMY,2022,True,0.075758,minor_edit,"{""added"": [""Committed to creating a better future for cancer patients"", ""Bristol Myers Squibb is committed to patient care and is constantly working to shape the future of cancer care and improve the lives of cancer patients."", ""Learn more >""], ""removed"": [""Patient & Employee Stories"", ""Daniel's Story"", ""Daniel had many life plans still ahead of him.""]}"
BMY,2023,True,0.318471,substantive_change,"{""added"": [""Committed to creating a better future for cancer patients >"", ""Global Inclusion & Diversity >"", ""Survivorship Today >""], ""removed"": [""Committed to creating a better future for cancer patients"", ""Bristol Myers Squibb is committed to patient care and is constantly working to shape the future of cancer care and improve the lives of cancer patients."", ""Learn more >""]}"
BMY,2024,True,0.022727,minor_edit,"{""added"": [""Explore about us"", ""Global inclusion and diversity >"", ""Sustainability at BMS >""], ""removed"": [""Quick links"", ""Global Inclusion & Diversity >"", ""Sustainability >""]}"
BRK.B,2016,,,no_prior,
BRK.B,2017,True,0.056738,minor_edit,"{""added"": [""Updated May 5, 2017"", ""Updated May 5, 2017"", ""Updated February 25, 2017""], ""removed"": [""Updated May 6, 2016"", ""Updated May 6, 2016"", ""Updated February 27, 2016""]}"
BRK.B,2018,True,0.049645,minor_edit,"{""added"": [""Updated June 20, 2018"", ""Updated May 5, 2018"", ""Updated February 24, 2018""], ""removed"": [""Updated May 5, 2017"", ""Updated May 5, 2017"", ""Updated February 25, 2017""]}"
BRK.B,2019,True,0.082759,minor_edit,"{""added"": [""Updated July 1, 2019"", ""Updated May 6, 2019"", ""Updated February 23, 2019""], ""removed"": [""Updated June 20, 2018"", ""Updated May 5, 2018"", ""Updated February 24, 2018""]}"
BRK.B,2020,True,0.168513,substantive_change,"{""added"": [""Updated May 2, 2020"", ""Updated May 2, 2020"", ""Annual Meeting Information""], ""removed"": [""Updated July 1, 2019"", ""Updated May 6, 2019"", ""Updated February 23, 2019""]}"
BRK.B,2021,True,0.171975,substantive_change,"{""added"": [""News Releases from Berkshire Hathaway and from Warren Buffett"", ""Updated June 23, 2021"", ""Updated May 1, 2021""], ""removed"": [""News Releases"", ""Updated May 2, 2020"", ""Updated May 2, 2020""]}"
BRK.B,2022,True,0.204969,substantive_change,"{""added"": [""Updated June 14, 2022"", ""Updated April 30, 2022"", ""Updated March 22, 2022""], ""removed"": [""Updated June 23, 2021"", ""Updated May 1, 2021"", ""Updated May 15, 2021""]}"
BRK.B,2023,True,0.131579,substantive_change,"{""added"": [""Updated June 21, 2023"", ""Updated May 6, 2023"", ""Updated February 28, 2023""], ""removed"": [""Updated June 14, 2022"", ""Updated April 30, 2022"", ""Updated March 22, 2022""]}"
BRK.B,2024,True,0.081633,minor_edit,"{""added"": [""Updated June 28, 2024"", ""Updated May 4, 2024"", ""Updated June 17, 2024""], ""removed"": [""Updated June 21, 2023"", ""Updated May 6, 2023"", ""Updated February 28, 2023""]}"
C,2016,,,no_prior,
C,2017,True,0.498498,substantive_change,"{""added"": [""While we're a global bank, our mission is simple: We responsibly provide financial services that enable growth and economic progress"", ""Michael Corbat, Chief Executive Officer of Citi, said: \""The momentum we saw across many of our businesses towards the end of last year carried into the first quarter, resulting in significantly better overall performance than a year ago."", ""Revenues increased in both our consumer and institutional lines of business, most notably in areas where we have been investing, such as Equities, U.S.""], ""removed"": [""Please be advised that this site is not optimized for use with Microsoft Internet Explorer 6."", ""About Citi"", ""Structure""]}"
C,2018,True,0.902676,substantive_change,"{""added"": [""Citi works tirelessly to provide consumers, corporations, governments and institutions with a broad range of financial services and products."", ""We strive to create the best outcomes for our clients and customers with financial ingenuity that leads to solutions that are simple, creative and responsible.""], ""removed"": [""Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions."", ""Citi provides consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management."", ""Michael Corbat, Chief Executive Officer of Citi, said: \""The momentum we saw across many of our businesses towards the end of last year carried into the first quarter, resulting in significantly better overall performance than a year ago.""]}"
C,2019,,,indeterminate,
C,2020,False,0.0,unchanged_exact,
C,2021,False,0.0,unchanged_exact,
C,2022,True,0.621212,substantive_change,"{""added"": [""Our distinct global network of people, data and relationships creates a mindset that allows Citi to spot opportunities, manage risks and connect dots for our clients in ways that others simply cannot.""], ""removed"": [""Citi works tirelessly to provide consumers, corporations, governments and institutions with a broad range of financial services and products."", ""We strive to create the best outcomes for our clients and customers with financial ingenuity that leads to solutions that are simple, creative and responsible.""]}"
