ticker,company_name,sector,year,observation_status,analysis_status,model_name,prompt_version,input_text_sha256,prompt_sha256,response_sha256,input_excerpt,llm_response,annotation_quality_flag
AAPL,Apple,Technology,2016,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,3311a17db0bb9795c7bfafa7db0ba7b1eed55e331388f738184ba28e4317c944,4fd5919677d6f1220d9966fd52cb0543e9ac7c29ca162a7e79bb0afc9c64a058,699e40c2950ba627100bfa939e5629713177fe163b664126d648b4a08e237fdd,"Apple Info - Apple Contact Us Apple Inc. 1 Infinite Loop Cupertino, CA 95014 408-996-1010 Apple Store Find a store Apple.com Visit apple.com Or call 1-800-My-Apple Sales Support Find order status online Or call 1-800-676-2775 Contact Apple Support Find Authorized Resellers Latest Press Releases RSS Feed View all Job Opportunities Want to work at Apple? Overview Search Jobs Apple Corporate Apple Retail Students","Themes: Corporate Contact Information, Customer Support, Job Opportunities  
Tone: Formal, informative, straightforward  
Analyst note: The excerpt provides clear contact details and job opportunities but lacks specific details about values or corporate philosophy.",candidate_interpretive_signal
AAPL,Apple,Technology,2017,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,3311a17db0bb9795c7bfafa7db0ba7b1eed55e331388f738184ba28e4317c944,07f193ca09cf256b4767da5d3d58e0d76e0392554370a06f3c0563fb8142ff84,699e40c2950ba627100bfa939e5629713177fe163b664126d648b4a08e237fdd,"Apple Info - Apple Contact Us Apple Inc. 1 Infinite Loop Cupertino, CA 95014 408-996-1010 Apple Store Find a store Apple.com Visit apple.com Or call 1-800-My-Apple Sales Support Find order status online Or call 1-800-676-2775 Contact Apple Support Find Authorized Resellers Latest Press Releases RSS Feed View all Job Opportunities Want to work at Apple? Overview Search Jobs Apple Corporate Apple Retail Students","Themes: Corporate Contact Information, Customer Support, Job Opportunities  
Tone: Formal, informative, straightforward  
Analyst note: The excerpt provides clear contact details and job opportunities but lacks specific details about values or corporate philosophy.",candidate_interpretive_signal
AAPL,Apple,Technology,2018,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,f685df335f3168b35ef980aa9dc64c9810830877a2b2541f10997406221eba03,b4ba2ee8e0290111356480e8d11566fcc37211b00a1840169ddb9f6ce1ae177c,07f2a1e1a3450e836921ccf3e00049890c3f7244c0702c164432135d8d15f649,About Apple Apple Leadership Job Opportunities Investors Contact Apple Legal Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Inclusion and Diversity News and Events Newsroom RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Find a Reseller How to Buy iPhone Apple Store for Government Apple Financial Services Rebates Refurbished and Clearance Account Manage Your Apple ID Apple Store Account iCloud.com Store Services Today at Apple Apple Camp Field Trip Genius Bar Order Status Financing Apple GiveBack Gift Cards Apple Store pickup Personal Setup Apple Store App Shopping Help For Education Apple and Education Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn MacBook MacBook Air MacBook Pro Mac mini iMac iMac Pro Mac Pro Compare Mac Models Wi-Fi Base Stations AirPort Express AirPort Extreme AirPort Time Capsule Which Wi-Fi Are You? Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mice & Keyboards Networking Photography Point of Sale Power & Cables Printers & Scanners Software Storage Applications Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro X Motion Compressor Logic Pro X MainStage iBooks iBooks Author Remote Desktop Safari QuickTime More Mac macOS High Sierra macOS Server Downloads Developer Mac in Business Mac in Education Accessibility Support Where Can I Buy a Mac? AppleCare Online Support Genius Bar iPad Shop and Learn iPad Pro iPad iPad mini 4 Compare iPad Models Apple Accessories Apple Pencil Smart Keyboard iPad Accessories Accessibility Cases & Protection Creativity Displays & Mounts Gaming & Toys Headphones & Speakers Health & Fitness HomeKit Keyboards Photography Point o,"Themes: Environment, Accessibility, Privacy, Inclusion and Diversity, Supplier Responsibility  
Tone: Formal, informative, with emphasis on values and corporate responsibility  
Analyst note: The excerpt highlights Apple's commitment to environmental sustainability, accessibility, and privacy, while also addressing inclusion and diversity.",candidate_interpretive_signal
AAPL,Apple,Technology,2019,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,c515666f69b2563619572fe26cfc12718a3dbb222dd564865bbbd41c77858cd7,a1918f9f649f5a9ba530c2f32d39158c141e387c5222b438e0537e39b9b250f3,47de5444c3af8b8b69aa9588b8fe909dc9b4e2f257b5eb77f9d53e10fbc8a474,Apple Site Map About Apple Apple Leadership Job Opportunities Investors Contact Apple Legal Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Inclusion and Diversity News and Events Newsroom RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Find a Reseller How to Buy iPhone Apple Store for Government Apple Financial Services Rebates Refurbished and Clearance Store Services Today at Apple Apple Camp Field Trip Genius Bar Order Status Financing Apple Trade In Gift Cards Apple Store pickup Personal Setup Apple Store App Shopping Help Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook MacBook Air MacBook Pro Mac mini iMac iMac Pro Mac Pro Mac Pro (Previous generation) Compare Mac Models Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mice & Keyboards Networking Photography Point of Sale Power & Cables Printers & Scanners Software Storage Applications Home Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro X Motion Compressor Logic Pro X MainStage Apple Books iBooks Author Apple News Apple Remote Desktop Safari QuickTime More Mac macOS Mojave macOS Server Downloads macOS for Developers Mac in Business Mac in Education Apple Arcade Accessibility Support Where Can I Buy a Mac? AppleCare+ Online Support User Guide Genius Bar iPad Shop and Learn All iPad iPad Pro iPad Air iPad iPad mini Compare iPad Models Apple Accessories Apple Pencil Smart Keyboard iPad Accessories All iPad Accessories Accessibility Cases & Protection Creativity Displays & Mounts,"Themes: Values, Privacy, Accessibility, Inclusion and Diversity, Environmental Responsibility  
Tone: Formal, informative, with emphasis on corporate responsibility and user experience  
Analyst note: The page emphasizes corporate values and user privacy while maintaining a professional and inclusive tone.",candidate_interpretive_signal
AAPL,Apple,Technology,2020,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,89babafd71d13d40398af7fa6b2dfb3e5ae4012e2a0342ec1bcf96d56b9252ad,21740f2a2815078a7a0933003797aaac13c44ff4412df0d2e91028572a357de8,1102f55cf362a6175ebcce4d780bef0f746407b7f326d039addcd20eb75001b4,Apple Site Map About Apple Apple Leadership Job Opportunities Investors Contact Apple Legal Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Inclusion and Diversity News and Events Newsroom RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Shop Online Find a Reseller Why Buy iPhone from Apple Apple Store for Government Apple Financial Services Rebates Refurbished and Clearance Store Services Today at Apple Apple Camp Field Trip Genius Bar Order Status Financing Apple Trade In Gift Cards Apple Store pickup Personal Setup Apple Store App Shopping Help Services Apple Music Apple News+ Apple TV+ Apple Arcade Apple Card iCloud Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for K-12 Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook Air MacBook Pro 13-inch model MacBook Pro 16-inch model Mac mini iMac iMac Pro Mac Pro Compare Mac Models Apple Accessories Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mice & Keyboards Networking Photography Point of Sale Power & Cables Printers & Scanners Software Storage Applications Home Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro X Motion Compressor Logic Pro X MainStage Apple Books iBooks Author Apple News Apple Remote Desktop Safari QuickTime More Mac macOS Catalina macOS Server Downloads macOS for Developers Mac in Business Mac in Education Apple Arcade Apple Arcade for Developers Find My Accessibility Support Where Can I Buy a Mac? AppleCare+ Online Support User Guide Genius Bar iPad Shop and Learn All iPad iPad Pro iPad Air iPad iPad mini,"Themes: Values, Privacy, Accessibility, Inclusion and Diversity, Environmental Responsibility  
Tone: Formal, informative, emphasizing corporate responsibility and inclusivity  
Analyst note: The page highlights Apple's commitment to privacy and accessibility while addressing environmental and inclusivity initiatives.",candidate_interpretive_signal
AAPL,Apple,Technology,2021,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,88181b238390681bdfb1553bf5c2136046b57db3708788373d452a720f680733,970bc8ee884bd57b3b5fe741c3d153ae2811a29b5814aec4bbe884f6deeedcc3,9481292f00dc1a3cce6a8db2d72dfe59445c4588355ae718615fd2841bdf10ee,Apple Site Map About Apple Apple Leadership Career Opportunities Investors Contact Apple Legal Ethics & Compliance Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Racial Equity and Justice Inclusion and Diversity News and Events Newsroom Apple TV+ Press RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Shop Online Find a Reseller Why Buy iPhone from Apple Apple Store for Government Apple Financial Services Rebates Refurbished and Clearance Store Services Today at Apple Apple Camp Genius Bar Order Status Financing Apple Trade In Gift Cards Apple Store pickup Online Personal Session Apple Store App Shopping Help Services Apple Music Apple TV+ Apple Fitness+ Apple News+ Apple Arcade iCloud Apple One Apple Card Apple Books Apple Podcasts App Store Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for K-12 Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook Air MacBook Pro 13” MacBook Pro 16” Mac mini iMac 21.5” iMac 24” iMac 27” Mac Pro Compare Mac Models Apple Accessories Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mac Components Mesh Wi‑Fi Networking Mice & Keyboards Photography Power & Cables Printers & Scanners Software Storage Applications Home Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro X Motion Compressor Logic Pro X MainStage Apple Books Apple News Apple Remote Desktop Safari QuickTime Apple Podcasts More Mac Why Mac macOS Big Sur macOS Server Downloads macOS for Developers Mac in Business Mac in Education Apple Arcade Apple Arcade for Developers Find My Accessibility S,"Themes: Ethics & Compliance, Inclusion and Diversity, Privacy, Environmental Responsibility  
Tone: Formal, authoritative, with emphasis on ethical standards and inclusivity  
Analyst note: The page emphasizes ethical practices and diversity, but lacks specific details on how these are implemented.",candidate_interpretive_signal
AAPL,Apple,Technology,2022,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,2ee378f73b49e0641a6c0048437c9a21f4b1fab79f93e4c9a74a53fa95e9d14d,fabfdfc7ffa7c78d7b38841c093e9ca332c3903e3b4a91426e13ddd4e5b336c3,9481292f00dc1a3cce6a8db2d72dfe59445c4588355ae718615fd2841bdf10ee,Apple Site Map About Apple Apple Leadership Career Opportunities Investors Contact Apple Legal Ethics & Compliance Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Racial Equity and Justice Inclusion and Diversity News and Events Newsroom Apple TV+ Press RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Shop Online Find a Reseller Why Buy iPhone from Apple Apple Store for Government Apple Financial Services Rebates Refurbished and Clearance Store Services Today at Apple Apple Camp Genius Bar Order Status Financing Apple Trade In Gift Cards Apple Store pickup Online Personal Session Apple Store App Shopping Help Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for K-12 Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook Air (M1) MacBook Air (M2) MacBook Pro 13” MacBook Pro 14” and 16” iMac 24” Mac mini Mac Studio Mac Pro Compare Mac Models Apple Accessories Studio Display Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mac Components Mesh Wi‑Fi Networking Mice & Keyboards Photography Power & Cables Printers & Scanners Software Storage Applications Home Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro Motion Compressor Logic Pro MainStage Apple Books Apple News Apple Remote Desktop Safari QuickTime Apple Podcasts More Mac Why Mac macOS Monterey macOS Server Continuity macOS for Developers Mac in Business Mac in Education Apple Arcade Apple Arcade for Developers Find My Accessibility Support Where Can I Buy a Mac? AppleCare+ Mac Support Manuals Genius Bar iPad Shop and Learn All iPad i,"Themes: Ethics & Compliance, Inclusion and Diversity, Privacy, Environmental Responsibility  
Tone: Formal, authoritative, with emphasis on ethical standards and inclusivity  
Analyst note: The page emphasizes ethical practices and diversity, but lacks specific details on how these are implemented.",candidate_interpretive_signal
AAPL,Apple,Technology,2023,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,e3aeb90308539c23866c0b12026426b54ac52620754b7235abec253f16211429,3aa9ca4758d2280661dcd572e20d91821ec6caa26f4c27559109b7fdc5d0ac75,9481292f00dc1a3cce6a8db2d72dfe59445c4588355ae718615fd2841bdf10ee,Apple Site Map About Apple Apple Leadership Career Opportunities Investors Contact Apple Legal Ethics & Compliance Choose Your Country or Region Product Feedback Apple Values Environment Supplier Responsibility Accessibility Privacy Racial Equity and Justice Inclusion and Diversity News and Events Newsroom Apple TV+ Press RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Shop Online Find a Reseller Why Buy iPhone from Apple Apple Store for Government Apple Financial Services Rebates Certified Refurbished Store Services Today at Apple Group Reservations Apple Camp Genius Bar Order Status Apple Trade In Financing Carrier Deals at Apple Gift Cards Apple Store pickup Online Personal Session Apple Store App Shopping Help Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for K-12 Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook Air 13” (M1) MacBook Air 13” and 15” (M2) MacBook Pro 13” MacBook Pro 14” and 16” iMac 24” Mac mini Mac Studio Mac Pro Compare Mac Models Apple Accessories Studio Display Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mac Components Mesh Wi‑Fi Networking Mice & Keyboards Photography Power & Cables Printers & Scanners Software Storage Applications Home Photos iMovie GarageBand iWork Pages Numbers Keynote Final Cut Pro Motion Compressor Logic Pro MainStage Apple Books Apple News Apple Remote Desktop Safari QuickTime Apple Podcasts More Mac Mac Does That macOS Ventura Continuity macOS for Developers Mac in Business Mac in Education Apple Arcade Apple Arcade for Developers Find My Accessibility Support Where Can I Buy a Mac? AppleCare+ Mac Support Man,"Themes: Ethics & Compliance, Inclusion and Diversity, Privacy, Environmental Responsibility  
Tone: Formal, authoritative, with emphasis on ethical standards and inclusivity  
Analyst note: The page emphasizes ethical practices and diversity, but lacks specific details on how these are implemented.",candidate_interpretive_signal
AAPL,Apple,Technology,2024,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,715d3d1ba9996fc14e0ba58c2a88553edd51d539a6a1e15cb42063a0056bf38f,8272bd512a7cff33eb4a47ae8a6562d0723412a804609bb1a653e2df21de1a5e,4dc92a6d5f5fe84315c4a8e14d783e09bf88fef59dc6df2369671e39583b979b,Apple Site Map About Apple Apple Leadership Career Opportunities Investors Contact Apple Legal Ethics & Compliance Choose Your Country or Region Product Feedback Apple Values Environment Supply Chain Accessibility Privacy Racial Equity and Justice Inclusion and Diversity News and Events Newsroom Apple TV+ Press RSS Feeds Apple Events User Groups Where to Buy Find an Apple Store Shop Online Find a Reseller Why Buy iPhone from Apple Apple Store for Government Apple Financial Services Rebates Certified Refurbished Store Services Today at Apple Group Reservations Apple Camp Genius Bar Order Status Apple Trade In Financing Carrier Deals at Apple Gift Cards Apple Store pickup Online Personal Session Apple Store App Shopping Help Account Manage Your Apple ID Apple Store Account iCloud.com For Education Apple and Education Shop for K-12 Shop for College For Business Apple and Business Shop for Business Mac Shop and Learn All Mac MacBook Air MacBook Pro iMac Mac mini Mac Studio Mac Pro Compare Mac Models Apple Accessories Studio Display Pro Display XDR Mac Accessories All Mac Accessories Accessibility Cases & Protection Creativity Displays & Mounts Headphones & Speakers Mac Components Mesh Wi‑Fi Networking Mice & Keyboards Photography Power & Cables Printers & Scanners Software Storage Applications Apps by Apple Home Final Cut Pro Motion Compressor Logic Pro MainStage Apple Books Apple News Apple Remote Desktop Safari QuickTime Apple Podcasts More Mac Mac Does That macOS Sonoma Continuity macOS for Developers Mac in Business Mac in Education Apple Arcade Apple Arcade for Developers Find My Accessibility Support Where Can I Buy a Mac? AppleCare+ Mac Support Manuals Genius Bar iPad Shop and Learn All iPad iPad Pro iPad Air iPad iPad mini Compare iPad Models Apple Accessories Apple,"Themes: Ethics & Compliance, Privacy, Inclusion and Diversity, Environmental Sustainability, Accessibility  
Tone: Formal, authoritative, emphasizing responsibility and inclusivity  
Analyst note: The page highlights ethical standards and inclusivity while addressing privacy and environmental concerns.",candidate_interpretive_signal
ABBV,AbbVie,Healthcare,2016,usable,completed,Qwen/Qwen3-1.7B,part1-local-llm-v1,f1a92a63266fc7bc978ca1ab1b5b3d3b718be1ff61c152c059f755f732ac9641,ba57dce3ee13619d511d7aa6fb21e7be7c3aab371307b183a97c51b6ee66e87f,7244ca12323f0e9be9b5d9c84b95dac951f52dfdd71081de265956b32c59cd8c,"AbbVie | About Us REMARKABLE IMPACT ON PEOPLE’S LIVES ADDRESSING SOME OF THE WORLD'S GREATEST HEALTH NEEDS At AbbVie, we have the expertise of a proven pharmaceutical leader and the focus and passion of an entrepreneur and innovator. The result is something rare in health care today – a global biopharmaceutical company that has the ability to discover and advance innovative therapies and meet the health needs of people and societies around the globe. Committed to Patient-Centered Innovation When it comes to innovating, AbbVie starts with the patient. We draw on our deep expertise in some of the most difficult-to-treat diseases and on our understanding of the patient journey to identify opportunities to create better outcomes at every stage. This patient-centered approach to discovery and development ensures we remain focused on our goal of improving lives. FAR REACH AND FOCUS People today live longer, healthier lives, but along with a longer life expectancy comes a higher prevalence of chronic disease. We take a broad perspective on improving healthcare and are committed to new thinking and approaches; we strive to find new solutions that will enable healthcare systems to bring medical innovation to more patients cost effectively. FOCUS AREAS Innovation is the cornerstone of AbbVie's business LEARN MORE » FOCUS AREAS FOCUS AREAS RESPONSIBILITY Meaningful solutions to society's biggest health challenges LEARN MORE » GLOBAL OPPORTUNITIES Grow, learn, dream, have real impact LEARN MORE » YOU ARE ABOUT TO LEAVE FOR A 3RD PARTY WEBSITE Notice The ""Yes"" link below will take you out of the AbbVie family of websites. Links which take you out of the AbbVie worldwide websites are not under the control of AbbVie, and AbbVie is not responsible for the contents of any such site or a","Themes: Patient-Centered Innovation, Innovation, Global Health, Responsibility, Focus Areas  
Tone: Professional, optimistic, emphasizing commitment to healthcare and patient outcomes  
Analyst note: The excerpt highlights AbbVie's focus on patient-centric innovation and global health challenges while maintaining a positive and forward-looking tone.",candidate_interpretive_signal
