doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,model_name,embedding_dim,normalize_embeddings,representative_text_sha256,embedding_file,embedding_file_sha256
MSFT-2016,MSFT,Microsoft,Technology,2016,0001193125-16-740758,c3d16cdb020bb28e1ff86bbbc7a40c568e41f85135ad568f639bd24a819110e1,sentence-transformers/all-MiniLM-L6-v2,384,True,bec03ad6740e6618cb4c8aaa85d94dba4658c8e2c32bb8148c120275e1035efb,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2017,MSFT,Microsoft,Technology,2017,0001193125-17-310951,bfbf2275d9ee321bed2d0da7b5c8378ae2de70915a7b72f1eb215cfd4f00b5e3,sentence-transformers/all-MiniLM-L6-v2,384,True,c82918e29c8d9dd75d18bffd0290d145656a94bedc96afd541d6776efbe5321b,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2018,MSFT,Microsoft,Technology,2018,0001193125-18-300115,e6cedbaacf478f4b5a151baa314a15cfed4406437ddb223fdaf862a74f622c71,sentence-transformers/all-MiniLM-L6-v2,384,True,04ae9c2c7ed0aacb8ba6712b14c08ff4a5bd36ffc0749356886c8ee4fab58f15,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2019,MSFT,Microsoft,Technology,2019,0001193125-19-268531,ef7f6fdb40371ad12e432819aeb5105e893c7ef3c9f5761eb808f8df9bcec718,sentence-transformers/all-MiniLM-L6-v2,384,True,878200836bf522bbf3f6b2f804442494633ad49a7812ebfeff46e03d01335a29,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2020,MSFT,Microsoft,Technology,2020,0001193125-20-272025,94705b6b7ae19742fe7228e66c90b9e4d813ac64605c394bd6c30dfcfc0af8b6,sentence-transformers/all-MiniLM-L6-v2,384,True,13f5e632e3b4918ef55bd115da2ff073def4ae940aadf13b064f768c25de0a86,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2021,MSFT,Microsoft,Technology,2021,0001193125-21-298757,98e3eab6694be8169df7f71cc889543d32ede597737c20392ed31873a8ef62ae,sentence-transformers/all-MiniLM-L6-v2,384,True,44f8d33658bcc5a06138463d76274d2ce7376fab59f8bd7ffc3254f82570e341,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2022,MSFT,Microsoft,Technology,2022,0001193125-22-270484,bdc82b4cc3a3d9ed337e169cf78f26c6a7f8e303937972b367c30d280a412a39,sentence-transformers/all-MiniLM-L6-v2,384,True,a87218dc2c67b9228345bc09a8d47e62611ba91742b877d8afd06304f87af186,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2023,MSFT,Microsoft,Technology,2023,0001193125-23-259247,e91933c2e1a34efc1308ecb1c4ba7d99225c57a7f8c6ce65027b9fd7e54be0db,sentence-transformers/all-MiniLM-L6-v2,384,True,f2dc360446e409c08dfaa76a80932d608ee0fb88990d28655df2c5d98ed6e442,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
MSFT-2024,MSFT,Microsoft,Technology,2024,0001193125-24-242883,133336a516a54fb018403d15da8b68a05d040bab984370bd9527cf27780053de,sentence-transformers/all-MiniLM-L6-v2,384,True,9958f30e46500d484922eecae2cb46efc7e6e7659e0a2af857d36d7059270995,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
AAPL-2016,AAPL,Apple,Technology,2016,0001193125-16-422528,f47a8650d7820ac0ebc20e40e3e961fb7dcba93495cdb872bff319b1e39c8ed4,sentence-transformers/all-MiniLM-L6-v2,384,True,dbdcef990d02c57a86e036da36b0e46bb42c324983bfcccde6279ea0d7ff0379,/Users/ricky/Desktop/Research/organizational-authenticity-analysis/part2_lived_values/outputs/text_mining/enhanced/document_embeddings.npy,55d8f1f2d7157bf2edeca022301dacf7419772161202980e6e63c64ba4b21769
