audit_bucket,ticker,company_name,sector,year,authenticity_index,cosine_alignment,l1_alignment,jaccard_theme_overlap,semantic_text_similarity,stated_top_theme_summary,disclosure_top_theme_summary,largest_theme_gap_summary,part1_source_url,part2_sec_archive_url
high_alignment,MPC,Marathon Petroleum,Energy,2020,82.116295,94.475995,82.116295,91.666667,20.579654,Leadership and accountability (3); Shareholders and performance (3); Customers and service (2),Shareholders and performance (185); Employees and workplace (119); Leadership and accountability (114),Environment and sustainability: -0.059567; Purpose and identity: 0.049628; Leadership and accountability: 0.045436,https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000017/a2020mpcproxystatement.htm
high_alignment,VLO,Valero Energy,Energy,2024,81.277728,93.386038,81.277728,83.333333,35.629425,Environment and sustainability (8); Leadership and accountability (3); Customers and service (2),Environment and sustainability (363); Leadership and accountability (160); Employees and workplace (136),"Diversity, equity, and inclusion: -0.114463; Innovation and excellence: 0.067436; Purpose and identity: 0.042591",https://www.valero.com/about,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000014/vlo-20240325.htm
high_alignment,MPC,Marathon Petroleum,Energy,2022,74.89405,87.758429,74.89405,91.666667,16.559845,Leadership and accountability (3); Shareholders and performance (3); Customers and service (2),Shareholders and performance (259); Environment and sustainability (189); Employees and workplace (130),Environment and sustainability: -0.122733; Shareholders and performance: -0.072329; Leadership and accountability: 0.066,https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029522000023/a2022mpcproxystatement.htm
high_alignment,MPC,Marathon Petroleum,Energy,2021,74.876355,88.752524,74.876355,91.666667,16.857482,Leadership and accountability (3); Shareholders and performance (3); Customers and service (2),"Employees and workplace (217); Shareholders and performance (213); Diversity, equity, and inclusion (148)","Leadership and accountability: 0.078081; Employees and workplace: -0.07645; Diversity, equity, and inclusion: -0.073556",https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029521000046/a2021mpcproxystatement.htm
high_alignment,MPC,Marathon Petroleum,Energy,2024,73.993244,87.11431,73.993244,91.666667,34.53418,Leadership and accountability (3); Shareholders and performance (3); Customers and service (2),Shareholders and performance (257); Environment and sustainability (205); Employees and workplace (144),Environment and sustainability: -0.12805; Leadership and accountability: 0.067081; Shareholders and performance: -0.057805,https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029524000033/mpc-20240313.htm
high_alignment,MPC,Marathon Petroleum,Energy,2019,73.487773,81.500791,73.487773,83.333333,22.181338,"Customers and service (3); Leadership and accountability (3); Diversity, equity, and inclusion (2)",Shareholders and performance (199); Employees and workplace (123); Customers and service (108),Shareholders and performance: -0.160875; Purpose and identity: 0.086229; Social impact and community: 0.086229,https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029519000021/def14a_2019mpcproxystateme.htm
high_alignment,MPC,Marathon Petroleum,Energy,2023,73.351973,86.217997,73.351973,91.666667,30.529977,Leadership and accountability (3); Shareholders and performance (3); Customers and service (2),Shareholders and performance (250); Environment and sustainability (212); Employees and workplace (136),"Environment and sustainability: -0.134961; Diversity, equity, and inclusion: -0.064577; Leadership and accountability: 0.063125",https://www.marathonpetroleum.com/About/,https://www.sec.gov/Archives/edgar/data/1510295/000151029523000028/mpc-20230313.htm
high_alignment,ABBV,AbbVie,Healthcare,2020,72.75885,85.341097,72.75885,83.333333,1.91543,"Customers and service (7); Health, safety, and wellbeing (6); Employees and workplace (5)",Employees and workplace (101); Leadership and accountability (91); Customers and service (79),"Diversity, equity, and inclusion: -0.126761; Purpose and identity: 0.079321; Collaboration and partnership: 0.056433",https://www.abbvie.com/our-company.html,https://www.sec.gov/Archives/edgar/data/1551152/000104746920001710/a2241076zdef14a.htm
high_alignment,BAC,Bank of America,Financials,2017,72.495791,87.074542,72.495791,83.333333,10.236646,Leadership and accountability (14); Customers and service (8); Employees and workplace (4),"Leadership and accountability (233); Diversity, equity, and inclusion (166); Customers and service (127)","Diversity, equity, and inclusion: -0.146675; Social impact and community: 0.080492; Purpose and identity: 0.079335",http://about.bankofamerica.com/,https://www.sec.gov/Archives/edgar/data/70858/000119312517082970/d269586ddef14a.htm
high_alignment,BAC,Bank of America,Financials,2018,71.69163,86.995318,71.69163,83.333333,6.460557,Leadership and accountability (14); Customers and service (7); Social impact and community (5),"Leadership and accountability (223); Customers and service (151); Diversity, equity, and inclusion (148)","Diversity, equity, and inclusion: -0.119236; Social impact and community: 0.09199; Purpose and identity: 0.091856",http://about.bankofamerica.com:80/,https://www.sec.gov/Archives/edgar/data/70858/000119312518078695/d501004ddef14a.htm
